1765325651.203525 server started (53780): version 3.6, socket /private/tmp/tmux-501/default, protocol 8
1765325651.203544 on Darwin 24.6.0 Darwin Kernel Version 24.6.0: Wed Oct 15 21:12:09 PDT 2025; root:xnu-11417.140.69.703.14~1/RELEASE_ARM64_T6031
1765325651.203554 using libevent 2.1.12-stable select
1765325651.203562 using utf8proc 2.11.2
1765325651.203568 using ncurses 6.5 20240427
1765325651.242089 cmd_parse_build_commands 0:3 0:3: -yW
1765325651.242093 cmd_parse_build_commands 0:3 0:4: -T
1765325651.242097 cmd_parse_build_commands 0:3 0:5: #[align=centre]#{window_index}:#{window_name}
1765325651.242101 cmd_parse_build_commands 0:3 0:6: #{?#{>:#{session_windows},1},,-}Swap Left
1765325651.242109 cmd_parse_build_commands 0:3 0:7: l
1765325651.242113 cmd_parse_build_commands 0:3 0:8 0:0: swap-window
1765325651.242116 cmd_parse_build_commands 0:3 0:8 0:1: -t:-1
1765325651.242120 cmd_parse_build_commands 0:3 0:9: #{?#{>:#{session_windows},1},,-}Swap Right
1765325651.242124 cmd_parse_build_commands 0:3 0:10: r
1765325651.242128 cmd_parse_build_commands 0:3 0:11 0:0: swap-window
1765325651.242131 cmd_parse_build_commands 0:3 0:11 0:1: -t:+1
1765325651.242135 cmd_parse_build_commands 0:3 0:12: #{?pane_marked_set,,-}Swap Marked
1765325651.242139 cmd_parse_build_commands 0:3 0:13: s
1765325651.242143 cmd_parse_build_commands 0:3 0:14 0:0: swap-window
1765325651.242146 cmd_parse_build_commands 0:3 0:15: 
1765325651.242150 cmd_parse_build_commands 0:3 0:16: Kill
1765325651.242154 cmd_parse_build_commands 0:3 0:17: X
1765325651.242157 cmd_parse_build_commands 0:3 0:18 0:0: kill-window
1765325651.242161 cmd_parse_build_commands 0:3 0:19: Respawn
1765325651.242165 cmd_parse_build_commands 0:3 0:20: R
1765325651.242168 cmd_parse_build_commands 0:3 0:21 0:0: respawn-window
1765325651.242172 cmd_parse_build_commands 0:3 0:21 0:1: -k
1765325651.242176 cmd_parse_build_commands 0:3 0:22: #{?pane_marked,Unmark,Mark}
1765325651.242179 cmd_parse_build_commands 0:3 0:23: m
1765325651.242186 cmd_parse_build_commands 0:3 0:24 0:0: select-pane
1765325651.242189 cmd_parse_build_commands 0:3 0:24 0:1: -m
1765325651.242193 cmd_parse_build_commands 0:3 0:25: Rename
1765325651.242197 cmd_parse_build_commands 0:3 0:26: n
1765325651.242201 cmd_parse_build_commands 0:3 0:27 0:0: command-prompt
1765325651.242204 cmd_parse_build_commands 0:3 0:27 0:1: -FI
1765325651.242208 cmd_parse_build_commands 0:3 0:27 0:2: #W
1765325651.242212 cmd_parse_build_commands 0:3 0:27 0:3 0:0: rename-window
1765325651.242216 cmd_parse_build_commands 0:3 0:27 0:3 0:1: -t
1765325651.242220 cmd_parse_build_commands 0:3 0:27 0:3 0:2: #{window_id}
1765325651.242223 cmd_parse_build_commands 0:3 0:27 0:3 0:3: --
1765325651.242227 cmd_parse_build_commands 0:3 0:27 0:3 0:4: %%
1765325651.242231 cmd_parse_build_commands 0:3 0:28: 
1765325651.242234 cmd_parse_build_commands 0:3 0:29: New After
1765325651.242238 cmd_parse_build_commands 0:3 0:30: w
1765325651.242242 cmd_parse_build_commands 0:3 0:31 0:0: new-window
1765325651.242246 cmd_parse_build_commands 0:3 0:31 0:1: -a
1765325651.242250 cmd_parse_build_commands 0:3 0:32: New At End
1765325651.242253 cmd_parse_build_commands 0:3 0:33: W
1765325651.242257 cmd_parse_build_commands 0:3 0:34 0:0: new-window
1765325651.242262 cmd_parse_build_commands 0:0: display-menu
1765325651.242265 cmd_parse_build_commands 0:1: -t=
1765325651.242269 cmd_parse_build_commands 0:2: -xW
1765325651.242273 cmd_parse_build_commands 0:3: -yW
1765325651.242276 cmd_parse_build_commands 0:4: -T
1765325651.242280 cmd_parse_build_commands 0:5: #[align=centre]#{window_index}:#{window_name}
1765325651.242284 cmd_parse_build_commands 0:6: #{?#{>:#{session_windows},1},,-}Swap Left
1765325651.242288 cmd_parse_build_commands 0:7: l
1765325651.242292 cmd_parse_build_commands 0:8 0:0: swap-window
1765325651.242295 cmd_parse_build_commands 0:8 0:1: -t:-1
1765325651.242299 cmd_parse_build_commands 0:9: #{?#{>:#{session_windows},1},,-}Swap Right
1765325651.242303 cmd_parse_build_commands 0:10: r
1765325651.242307 cmd_parse_build_commands 0:11 0:0: swap-window
1765325651.242311 cmd_parse_build_commands 0:11 0:1: -t:+1
1765325651.242314 cmd_parse_build_commands 0:12: #{?pane_marked_set,,-}Swap Marked
1765325651.242318 cmd_parse_build_commands 0:13: s
1765325651.242322 cmd_parse_build_commands 0:14 0:0: swap-window
1765325651.242326 cmd_parse_build_commands 0:15: 
1765325651.242329 cmd_parse_build_commands 0:16: Kill
1765325651.242333 cmd_parse_build_commands 0:17: X
1765325651.242337 cmd_parse_build_commands 0:18 0:0: kill-window
1765325651.242341 cmd_parse_build_commands 0:19: Respawn
1765325651.242345 cmd_parse_build_commands 0:20: R
1765325651.242348 cmd_parse_build_commands 0:21 0:0: respawn-window
1765325651.242355 cmd_parse_build_commands 0:21 0:1: -k
1765325651.242359 cmd_parse_build_commands 0:22: #{?pane_marked,Unmark,Mark}
1765325651.242363 cmd_parse_build_commands 0:23: m
1765325651.242367 cmd_parse_build_commands 0:24 0:0: select-pane
1765325651.242371 cmd_parse_build_commands 0:24 0:1: -m
1765325651.242374 cmd_parse_build_commands 0:25: Rename
1765325651.242378 cmd_parse_build_commands 0:26: n
1765325651.242382 cmd_parse_build_commands 0:27 0:0: command-prompt
1765325651.242386 cmd_parse_build_commands 0:27 0:1: -FI
1765325651.242389 cmd_parse_build_commands 0:27 0:2: #W
1765325651.242393 cmd_parse_build_commands 0:27 0:3 0:0: rename-window
1765325651.242397 cmd_parse_build_commands 0:27 0:3 0:1: -t
1765325651.242401 cmd_parse_build_commands 0:27 0:3 0:2: #{window_id}
1765325651.242404 cmd_parse_build_commands 0:27 0:3 0:3: --
1765325651.242408 cmd_parse_build_commands 0:27 0:3 0:4: %%
1765325651.242412 cmd_parse_build_commands 0:28: 
1765325651.242416 cmd_parse_build_commands 0:29: New After
1765325651.242419 cmd_parse_build_commands 0:30: w
1765325651.242423 cmd_parse_build_commands 0:31 0:0: new-window
1765325651.242427 cmd_parse_build_commands 0:31 0:1: -a
1765325651.242431 cmd_parse_build_commands 0:32: New At End
1765325651.242435 cmd_parse_build_commands 0:33: W
1765325651.242439 cmd_parse_build_commands 0:34 0:0: new-window
1765325651.242444 cmd_parse_build_commands 0:0: swap-window
1765325651.242448 cmd_parse_build_commands 0:1: -t:-1
1765325651.242453 args_parse_flags: next -t:-1
1765325651.242457 args_parse_flag_argument: -t = :-1
1765325651.242461 args_parse: flags end at 2 of 2
1765325651.242466 cmd_parse_build_commands: swap-window -t :-1
1765325651.242471 cmd_parse_build_commands 0:0: swap-window
1765325651.242475 cmd_parse_build_commands 0:1: -t:+1
1765325651.242479 args_parse_flags: next -t:+1
1765325651.242483 args_parse_flag_argument: -t = :+1
1765325651.242487 args_parse: flags end at 2 of 2
1765325651.242492 cmd_parse_build_commands: swap-window -t :+1
1765325651.242497 cmd_parse_build_commands 0:0: swap-window
1765325651.242503 args_parse: flags end at 1 of 1
1765325651.242508 cmd_parse_build_commands: swap-window
1765325651.242512 cmd_parse_build_commands 0:0: kill-window
1765325651.242517 args_parse: flags end at 1 of 1
1765325651.242521 cmd_parse_build_commands: kill-window
1765325651.242526 cmd_parse_build_commands 0:0: respawn-window
1765325651.242529 cmd_parse_build_commands 0:1: -k
1765325651.242534 args_parse_flags: next -k
1765325651.242537 args_parse_flags: -k
1765325651.242541 args_parse: flags end at 2 of 2
1765325651.242546 cmd_parse_build_commands: respawn-window -k
1765325651.242550 cmd_parse_build_commands 0:0: select-pane
1765325651.242554 cmd_parse_build_commands 0:1: -m
1765325651.242558 args_parse_flags: next -m
1765325651.242562 args_parse_flags: -m
1765325651.242565 args_parse: flags end at 2 of 2
1765325651.242570 cmd_parse_build_commands: select-pane -m
1765325651.242574 cmd_parse_build_commands 0:0: command-prompt
1765325651.242578 cmd_parse_build_commands 0:1: -FI
1765325651.242581 cmd_parse_build_commands 0:2: #W
1765325651.242585 cmd_parse_build_commands 0:3 0:0: rename-window
1765325651.242589 cmd_parse_build_commands 0:3 0:1: -t
1765325651.242593 cmd_parse_build_commands 0:3 0:2: #{window_id}
1765325651.242596 cmd_parse_build_commands 0:3 0:3: --
1765325651.242600 cmd_parse_build_commands 0:3 0:4: %%
1765325651.242604 cmd_parse_build_commands 0:0: rename-window
1765325651.242608 cmd_parse_build_commands 0:1: -t
1765325651.242612 cmd_parse_build_commands 0:2: #{window_id}
1765325651.242615 cmd_parse_build_commands 0:3: --
1765325651.242619 cmd_parse_build_commands 0:4: %%
1765325651.242624 args_parse_flags: next -t
1765325651.242627 args_parse_flag_argument: -t = #{window_id}
1765325651.242631 args_parse_flags: next --
1765325651.242635 args_parse: flags end at 4 of 5
1765325651.242639 args_parse: 4 = %% (type STRING)
1765325651.242645 cmd_parse_build_commands: rename-window -t "#{window_id}" "%%"
1765325651.242649 args_parse_flags: next -FI
1765325651.242656 args_parse_flags: -F
1765325651.242660 args_parse_flag_argument: -I = #W
1765325651.242664 args_parse: flags end at 3 of 4
1765325651.242672 args_parse: 3 = rename-window -t "#{window_id}" "%%" (type COMMANDS)
1765325651.242680 cmd_parse_build_commands: command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" }
1765325651.242684 cmd_parse_build_commands 0:0: new-window
1765325651.242688 cmd_parse_build_commands 0:1: -a
1765325651.242693 args_parse_flags: next -a
1765325651.242696 args_parse_flags: -a
1765325651.242700 args_parse: flags end at 2 of 2
1765325651.242705 cmd_parse_build_commands: new-window -a
1765325651.242709 cmd_parse_build_commands 0:0: new-window
1765325651.242714 args_parse: flags end at 1 of 1
1765325651.242718 cmd_parse_build_commands: new-window
1765325651.242723 args_parse_flags: next -t=
1765325651.242727 args_parse_flag_argument: -t = =
1765325651.242730 args_parse_flags: next -xW
1765325651.242734 args_parse_flag_argument: -x = W
1765325651.242738 args_parse_flags: next -yW
1765325651.242742 args_parse_flag_argument: -y = W
1765325651.242746 args_parse_flags: next -T
1765325651.242750 args_parse_flag_argument: -T = #[align=centre]#{window_index}:#{window_name}
1765325651.242754 args_parse_flags: next #{?#{>:#{session_windows},1},,-}Swap Left
1765325651.242758 args_parse: flags end at 6 of 35
1765325651.242762 args_parse: 6 = #{?#{>:#{session_windows},1},,-}Swap Left (type STRING)
1765325651.242766 args_parse: 7 = l (type STRING)
1765325651.242771 args_parse: 8 = swap-window -t :-1 (type COMMANDS)
1765325651.242775 args_parse: 9 = #{?#{>:#{session_windows},1},,-}Swap Right (type STRING)
1765325651.242779 args_parse: 10 = r (type STRING)
1765325651.242784 args_parse: 11 = swap-window -t :+1 (type COMMANDS)
1765325651.242789 args_parse: 12 = #{?pane_marked_set,,-}Swap Marked (type STRING)
1765325651.242793 args_parse: 13 = s (type STRING)
1765325651.242797 args_parse: 14 = swap-window (type COMMANDS)
1765325651.242801 args_parse: 15 =  (type STRING)
1765325651.242805 args_parse: 16 = Kill (type STRING)
1765325651.242809 args_parse: 17 = X (type STRING)
1765325651.242813 args_parse: 18 = kill-window (type COMMANDS)
1765325651.242817 args_parse: 19 = Respawn (type STRING)
1765325651.242821 args_parse: 20 = R (type STRING)
1765325651.242826 args_parse: 21 = respawn-window -k (type COMMANDS)
1765325651.242830 args_parse: 22 = #{?pane_marked,Unmark,Mark} (type STRING)
1765325651.242835 args_parse: 23 = m (type STRING)
1765325651.242839 args_parse: 24 = select-pane -m (type COMMANDS)
1765325651.242844 args_parse: 25 = Rename (type STRING)
1765325651.242848 args_parse: 26 = n (type STRING)
1765325651.242856 args_parse: 27 = command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } (type COMMANDS)
1765325651.242860 args_parse: 28 =  (type STRING)
1765325651.242864 args_parse: 29 = New After (type STRING)
1765325651.242868 args_parse: 30 = w (type STRING)
1765325651.242873 args_parse: 31 = new-window -a (type COMMANDS)
1765325651.242877 args_parse: 32 = New At End (type STRING)
1765325651.242882 args_parse: 33 = W (type STRING)
1765325651.242886 args_parse: 34 = new-window (type COMMANDS)
1765325651.242921 cmd_parse_build_commands: display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window }
1765325651.242926 args_parse_flags: next -n
1765325651.242930 args_parse_flags: -n
1765325651.242934 args_parse_flags: next MouseDown3Status
1765325651.242938 args_parse: flags end at 2 of 4
1765325651.242941 args_parse: 2 = MouseDown3Status (type STRING)
1765325651.242974 args_parse: 3 = display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } (type COMMANDS)
1765325651.243010 cmd_parse_build_commands: bind-key -n MouseDown3Status { display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } }
1765325651.243022 cmdq_get_command: [bind-key/0x15c925620] group 1042
1765325651.243025 cmdq_append <global>: [bind-key/0x15c925620]
1765325651.243029 yylex_token: end at WS
1765325651.243033 yylex_token: bind
1765325651.243037 yylex_token: end at WS
1765325651.243040 yylex_token: -n
1765325651.243045 yylex_token: end at WS
1765325651.243048 yylex_token: M-MouseDown3Status
1765325651.243052 yylex_token: end at WS
1765325651.243056 yylex_token: display-menu
1765325651.243060 yylex_token: end at WS
1765325651.243063 yylex_token: -t=
1765325651.243067 yylex_token: end at WS
1765325651.243070 yylex_token: -xW
1765325651.243074 yylex_token: end at WS
1765325651.243078 yylex_token: -yW
1765325651.243081 yylex_token: end at WS
1765325651.243085 yylex_token: -T
1765325651.243090 yylex_token: end at WS
1765325651.243093 yylex_token: #[align=centre]#{window_index}:#{window_name}
1765325651.243098 yylex_token: end at WS
1765325651.243102 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Left
1765325651.243108 yylex_token: end at WS
1765325651.243111 yylex_token: l
1765325651.243115 yylex_token: end at WS
1765325651.243119 yylex_token: swap-window
1765325651.243123 yylex_token: end at }
1765325651.243126 yylex_token: -t:-1
1765325651.243132 yylex_token: end at WS
1765325651.243135 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Right
1765325651.243139 yylex_token: end at WS
1765325651.243143 yylex_token: r
1765325651.243147 yylex_token: end at WS
1765325651.243151 yylex_token: swap-window
1765325651.243154 yylex_token: end at }
1765325651.243158 yylex_token: -t:+1
1765325651.243163 yylex_token: end at WS
1765325651.243167 yylex_token: #{?pane_marked_set,,-}Swap Marked
1765325651.243171 yylex_token: end at WS
1765325651.243174 yylex_token: s
1765325651.243178 yylex_token: end at }
1765325651.243182 yylex_token: swap-window
1765325651.243186 yylex_token: end at WS
1765325651.243189 yylex_token: 
1765325651.243193 yylex_token: end at WS
1765325651.243197 yylex_token: Kill
1765325651.243201 yylex_token: end at WS
1765325651.243204 yylex_token: X
1765325651.243208 yylex_token: end at }
1765325651.243212 yylex_token: kill-window
1765325651.243216 yylex_token: end at WS
1765325651.243220 yylex_token: Respawn
1765325651.243223 yylex_token: end at WS
1765325651.243227 yylex_token: R
1765325651.243231 yylex_token: end at WS
1765325651.243235 yylex_token: respawn-window
1765325651.243238 yylex_token: end at }
1765325651.243242 yylex_token: -k
1765325651.243247 yylex_token: end at WS
1765325651.243251 yylex_token: #{?pane_marked,Unmark,Mark}
1765325651.243255 yylex_token: end at WS
1765325651.243258 yylex_token: m
1765325651.243262 yylex_token: end at WS
1765325651.243266 yylex_token: select-pane
1765325651.243270 yylex_token: end at }
1765325651.243274 yylex_token: -m
1765325651.243278 yylex_token: end at WS
1765325651.243281 yylex_token: Rename
1765325651.243285 yylex_token: end at WS
1765325651.243288 yylex_token: n
1765325651.243293 yylex_token: end at WS
1765325651.243301 yylex_token: command-prompt
1765325651.243305 yylex_token: end at WS
1765325651.243309 yylex_token: -FI
1765325651.243312 yylex_token: end at WS
1765325651.243316 yylex_token: #W
1765325651.243320 yylex_token: end at WS
1765325651.243324 yylex_token: rename-window
1765325651.243327 yylex_token: end at WS
1765325651.243331 yylex_token: -t
1765325651.243335 yylex_token: end at WS
1765325651.243339 yylex_token: #{window_id}
1765325651.243342 yylex_token: end at WS
1765325651.243346 yylex_token: --
1765325651.243350 yylex_token: end at }
1765325651.243354 yylex_token: %%
1765325651.243358 yylex_token: end at WS
1765325651.243361 yylex_token: 
1765325651.243365 yylex_token: end at WS
1765325651.243369 yylex_token: New After
1765325651.243373 yylex_token: end at WS
1765325651.243376 yylex_token: w
1765325651.243380 yylex_token: end at WS
1765325651.243384 yylex_token: new-window
1765325651.243387 yylex_token: end at }
1765325651.243391 yylex_token: -a
1765325651.243395 yylex_token: end at WS
1765325651.243398 yylex_token: New At End
1765325651.243402 yylex_token: end at WS
1765325651.243406 yylex_token: W
1765325651.243409 yylex_token: end at }
1765325651.243413 yylex_token: new-window
1765325651.243419 cmd_parse_build_commands 0:0: bind
1765325651.243423 cmd_parse_build_commands 0:1: -n
1765325651.243427 cmd_parse_build_commands 0:2: M-MouseDown3Status
1765325651.243431 cmd_parse_build_commands 0:3 0:0: display-menu
1765325651.243435 cmd_parse_build_commands 0:3 0:1: -t=
1765325651.243438 cmd_parse_build_commands 0:3 0:2: -xW
1765325651.243442 cmd_parse_build_commands 0:3 0:3: -yW
1765325651.243446 cmd_parse_build_commands 0:3 0:4: -T
1765325651.243450 cmd_parse_build_commands 0:3 0:5: #[align=centre]#{window_index}:#{window_name}
1765325651.243454 cmd_parse_build_commands 0:3 0:6: #{?#{>:#{session_windows},1},,-}Swap Left
1765325651.243458 cmd_parse_build_commands 0:3 0:7: l
1765325651.243462 cmd_parse_build_commands 0:3 0:8 0:0: swap-window
1765325651.243466 cmd_parse_build_commands 0:3 0:8 0:1: -t:-1
1765325651.243470 cmd_parse_build_commands 0:3 0:9: #{?#{>:#{session_windows},1},,-}Swap Right
1765325651.243473 cmd_parse_build_commands 0:3 0:10: r
1765325651.243477 cmd_parse_build_commands 0:3 0:11 0:0: swap-window
1765325651.243481 cmd_parse_build_commands 0:3 0:11 0:1: -t:+1
1765325651.243485 cmd_parse_build_commands 0:3 0:12: #{?pane_marked_set,,-}Swap Marked
1765325651.243489 cmd_parse_build_commands 0:3 0:13: s
1765325651.243493 cmd_parse_build_commands 0:3 0:14 0:0: swap-window
1765325651.243497 cmd_parse_build_commands 0:3 0:15: 
1765325651.243500 cmd_parse_build_commands 0:3 0:16: Kill
1765325651.243504 cmd_parse_build_commands 0:3 0:17: X
1765325651.243508 cmd_parse_build_commands 0:3 0:18 0:0: kill-window
1765325651.243512 cmd_parse_build_commands 0:3 0:19: Respawn
1765325651.243516 cmd_parse_build_commands 0:3 0:20: R
1765325651.243520 cmd_parse_build_commands 0:3 0:21 0:0: respawn-window
1765325651.243523 cmd_parse_build_commands 0:3 0:21 0:1: -k
1765325651.243527 cmd_parse_build_commands 0:3 0:22: #{?pane_marked,Unmark,Mark}
1765325651.243531 cmd_parse_build_commands 0:3 0:23: m
1765325651.243535 cmd_parse_build_commands 0:3 0:24 0:0: select-pane
1765325651.243539 cmd_parse_build_commands 0:3 0:24 0:1: -m
1765325651.243543 cmd_parse_build_commands 0:3 0:25: Rename
1765325651.243547 cmd_parse_build_commands 0:3 0:26: n
1765325651.243550 cmd_parse_build_commands 0:3 0:27 0:0: command-prompt
1765325651.243554 cmd_parse_build_commands 0:3 0:27 0:1: -FI
1765325651.243558 cmd_parse_build_commands 0:3 0:27 0:2: #W
1765325651.243562 cmd_parse_build_commands 0:3 0:27 0:3 0:0: rename-window
1765325651.243565 cmd_parse_build_commands 0:3 0:27 0:3 0:1: -t
1765325651.243569 cmd_parse_build_commands 0:3 0:27 0:3 0:2: #{window_id}
1765325651.243574 cmd_parse_build_commands 0:3 0:27 0:3 0:3: --
1765325651.243578 cmd_parse_build_commands 0:3 0:27 0:3 0:4: %%
1765325651.243582 cmd_parse_build_commands 0:3 0:28: 
1765325651.243586 cmd_parse_build_commands 0:3 0:29: New After
1765325651.243590 cmd_parse_build_commands 0:3 0:30: w
1765325651.243597 cmd_parse_build_commands 0:3 0:31 0:0: new-window
1765325651.243601 cmd_parse_build_commands 0:3 0:31 0:1: -a
1765325651.243605 cmd_parse_build_commands 0:3 0:32: New At End
1765325651.243608 cmd_parse_build_commands 0:3 0:33: W
1765325651.243613 cmd_parse_build_commands 0:3 0:34 0:0: new-window
1765325651.243617 cmd_parse_build_commands 0:0: display-menu
1765325651.243621 cmd_parse_build_commands 0:1: -t=
1765325651.243625 cmd_parse_build_commands 0:2: -xW
1765325651.243629 cmd_parse_build_commands 0:3: -yW
1765325651.243632 cmd_parse_build_commands 0:4: -T
1765325651.243636 cmd_parse_build_commands 0:5: #[align=centre]#{window_index}:#{window_name}
1765325651.243640 cmd_parse_build_commands 0:6: #{?#{>:#{session_windows},1},,-}Swap Left
1765325651.243644 cmd_parse_build_commands 0:7: l
1765325651.243648 cmd_parse_build_commands 0:8 0:0: swap-window
1765325651.243652 cmd_parse_build_commands 0:8 0:1: -t:-1
1765325651.243656 cmd_parse_build_commands 0:9: #{?#{>:#{session_windows},1},,-}Swap Right
1765325651.243660 cmd_parse_build_commands 0:10: r
1765325651.243664 cmd_parse_build_commands 0:11 0:0: swap-window
1765325651.243668 cmd_parse_build_commands 0:11 0:1: -t:+1
1765325651.243672 cmd_parse_build_commands 0:12: #{?pane_marked_set,,-}Swap Marked
1765325651.243675 cmd_parse_build_commands 0:13: s
1765325651.243679 cmd_parse_build_commands 0:14 0:0: swap-window
1765325651.243683 cmd_parse_build_commands 0:15: 
1765325651.243686 cmd_parse_build_commands 0:16: Kill
1765325651.243690 cmd_parse_build_commands 0:17: X
1765325651.243694 cmd_parse_build_commands 0:18 0:0: kill-window
1765325651.243698 cmd_parse_build_commands 0:19: Respawn
1765325651.243701 cmd_parse_build_commands 0:20: R
1765325651.243705 cmd_parse_build_commands 0:21 0:0: respawn-window
1765325651.243709 cmd_parse_build_commands 0:21 0:1: -k
1765325651.243713 cmd_parse_build_commands 0:22: #{?pane_marked,Unmark,Mark}
1765325651.243716 cmd_parse_build_commands 0:23: m
1765325651.243720 cmd_parse_build_commands 0:24 0:0: select-pane
1765325651.243724 cmd_parse_build_commands 0:24 0:1: -m
1765325651.243728 cmd_parse_build_commands 0:25: Rename
1765325651.243733 cmd_parse_build_commands 0:26: n
1765325651.243737 cmd_parse_build_commands 0:27 0:0: command-prompt
1765325651.243740 cmd_parse_build_commands 0:27 0:1: -FI
1765325651.243744 cmd_parse_build_commands 0:27 0:2: #W
1765325651.243748 cmd_parse_build_commands 0:27 0:3 0:0: rename-window
1765325651.243752 cmd_parse_build_commands 0:27 0:3 0:1: -t
1765325651.243756 cmd_parse_build_commands 0:27 0:3 0:2: #{window_id}
1765325651.243759 cmd_parse_build_commands 0:27 0:3 0:3: --
1765325651.243763 cmd_parse_build_commands 0:27 0:3 0:4: %%
1765325651.243767 cmd_parse_build_commands 0:28: 
1765325651.243771 cmd_parse_build_commands 0:29: New After
1765325651.243774 cmd_parse_build_commands 0:30: w
1765325651.243778 cmd_parse_build_commands 0:31 0:0: new-window
1765325651.243782 cmd_parse_build_commands 0:31 0:1: -a
1765325651.243786 cmd_parse_build_commands 0:32: New At End
1765325651.243789 cmd_parse_build_commands 0:33: W
1765325651.243793 cmd_parse_build_commands 0:34 0:0: new-window
1765325651.243799 cmd_parse_build_commands 0:0: swap-window
1765325651.243802 cmd_parse_build_commands 0:1: -t:-1
1765325651.243807 args_parse_flags: next -t:-1
1765325651.243811 args_parse_flag_argument: -t = :-1
1765325651.243815 args_parse: flags end at 2 of 2
1765325651.243820 cmd_parse_build_commands: swap-window -t :-1
1765325651.243825 cmd_parse_build_commands 0:0: swap-window
1765325651.243829 cmd_parse_build_commands 0:1: -t:+1
1765325651.243833 args_parse_flags: next -t:+1
1765325651.243837 args_parse_flag_argument: -t = :+1
1765325651.243841 args_parse: flags end at 2 of 2
1765325651.243846 cmd_parse_build_commands: swap-window -t :+1
1765325651.243851 cmd_parse_build_commands 0:0: swap-window
1765325651.243855 args_parse: flags end at 1 of 1
1765325651.243860 cmd_parse_build_commands: swap-window
1765325651.243864 cmd_parse_build_commands 0:0: kill-window
1765325651.243868 args_parse: flags end at 1 of 1
1765325651.243876 cmd_parse_build_commands: kill-window
1765325651.243881 cmd_parse_build_commands 0:0: respawn-window
1765325651.243885 cmd_parse_build_commands 0:1: -k
1765325651.243890 args_parse_flags: next -k
1765325651.243894 args_parse_flags: -k
1765325651.243897 args_parse: flags end at 2 of 2
1765325651.243904 cmd_parse_build_commands: respawn-window -k
1765325651.243908 cmd_parse_build_commands 0:0: select-pane
1765325651.243912 cmd_parse_build_commands 0:1: -m
1765325651.243917 args_parse_flags: next -m
1765325651.243921 args_parse_flags: -m
1765325651.243925 args_parse: flags end at 2 of 2
1765325651.243929 cmd_parse_build_commands: select-pane -m
1765325651.243934 cmd_parse_build_commands 0:0: command-prompt
1765325651.243937 cmd_parse_build_commands 0:1: -FI
1765325651.243941 cmd_parse_build_commands 0:2: #W
1765325651.243945 cmd_parse_build_commands 0:3 0:0: rename-window
1765325651.243949 cmd_parse_build_commands 0:3 0:1: -t
1765325651.243952 cmd_parse_build_commands 0:3 0:2: #{window_id}
1765325651.243956 cmd_parse_build_commands 0:3 0:3: --
1765325651.243960 cmd_parse_build_commands 0:3 0:4: %%
1765325651.243965 cmd_parse_build_commands 0:0: rename-window
1765325651.243969 cmd_parse_build_commands 0:1: -t
1765325651.243973 cmd_parse_build_commands 0:2: #{window_id}
1765325651.243977 cmd_parse_build_commands 0:3: --
1765325651.243981 cmd_parse_build_commands 0:4: %%
1765325651.243985 args_parse_flags: next -t
1765325651.243990 args_parse_flag_argument: -t = #{window_id}
1765325651.243993 args_parse_flags: next --
1765325651.243997 args_parse: flags end at 4 of 5
1765325651.244001 args_parse: 4 = %% (type STRING)
1765325651.244007 cmd_parse_build_commands: rename-window -t "#{window_id}" "%%"
1765325651.244011 args_parse_flags: next -FI
1765325651.244015 args_parse_flags: -F
1765325651.244019 args_parse_flag_argument: -I = #W
1765325651.244023 args_parse: flags end at 3 of 4
1765325651.244029 args_parse: 3 = rename-window -t "#{window_id}" "%%" (type COMMANDS)
1765325651.244036 cmd_parse_build_commands: command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" }
1765325651.244041 cmd_parse_build_commands 0:0: new-window
